Sexo,Edad,Estado de salud,Total
Mujeres,TOTAL,Muy malo,1.87
Mujeres,De 15 a 24 años,Total,100.00
Mujeres,De 15 a 24 años,Muy bueno,48.89
Mujeres,De 15 a 24 años,Bueno,41.78
Mujeres,De 15 a 24 años,Regular,8.32
Mujeres,De 15 a 24 años,Malo,0.72
Mujeres,De 15 a 24 años,Muy malo,0.30
Mujeres,De 25 a 34 años,Total,100.00
Mujeres,De 25 a 34 años,Muy bueno,38.28
Mujeres,De 25 a 34 años,Bueno,48.79
Mujeres,De 25 a 34 años,Regular,11.09
Mujeres,De 25 a 34 años,Malo,1.42
Mujeres,De 25 a 34 años,Muy malo,0.41
Mujeres,De 35 a 44 años,Total,100.00
Mujeres,De 35 a 44 años,Muy bueno,31.21
Mujeres,De 35 a 44 años,Bueno,52.79
Mujeres,De 35 a 44 años,Regular,12.84
Mujeres,De 35 a 44 años,Malo,2.67
Mujeres,De 35 a 44 años,Muy malo,0.48
Mujeres,De 45 a 54 años,Total,100.00
Mujeres,De 45 a 54 años,Muy bueno,21.30
Mujeres,De 45 a 54 años,Bueno,55.24
Mujeres,De 45 a 54 años,Regular,16.18
Mujeres,De 45 a 54 años,Malo,5.90
Mujeres,De 45 a 54 años,Muy malo,1.38
Mujeres,De 55 a 64 años,Total,100.00
Mujeres,De 55 a 64 años,Muy bueno,13.07
Mujeres,De 55 a 64 años,Bueno,54.82
Mujeres,De 55 a 64 años,Regular,23.52
Mujeres,De 55 a 64 años,Malo,6.82
Mujeres,De 55 a 64 años,Muy malo,1.77
Mujeres,De 65 a 74 años,Total,100.00
Mujeres,De 65 a 74 años,Muy bueno,9.16
Mujeres,De 65 a 74 años,Bueno,47.33
Mujeres,De 65 a 74 años,Regular,30.59
Mujeres,De 65 a 74 años,Malo,9.53
Mujeres,De 65 a 74 años,Muy malo,3.39
Mujeres,De 75 a 84 años,Total,100.00
Mujeres,De 75 a 84 años,Muy bueno,5.38
Mujeres,De 75 a 84 años,Bueno,33.62
Mujeres,De 75 a 84 años,Regular,37.78
Mujeres,De 75 a 84 años,Malo,18.38
Mujeres,De 75 a 84 años,Muy malo,4.84
Mujeres,De 85 y más años,Total,100.00
Mujeres,De 85 y más años,Muy bueno,1.67
Mujeres,De 85 y más años,Bueno,27.11
Mujeres,De 85 y más años,Regular,36.88
Mujeres,De 85 y más años,Malo,25.82
Mujeres,De 85 y más años,Muy malo,8.51
