Sexo,Edad,Estado de salud,Valor
Ambos sexos,TOTAL,Total,100
Ambos sexos,TOTAL,Muy buena,25.75
Ambos sexos,TOTAL,Buena,49.76
Ambos sexos,TOTAL,Regular,17.45
Ambos sexos,TOTAL,Mala,5.53
Ambos sexos,TOTAL,Muy mala,1.51
Ambos sexos,15-24,Total,100
Ambos sexos,15-24,Muy buena,54.07
Ambos sexos,15-24,Buena,38.25
Ambos sexos,15-24,Regular,6.85
Ambos sexos,15-24,Mala,0.52
Ambos sexos,15-24,Muy mala,0.31
Ambos sexos,25-34,Total,100
Ambos sexos,25-34,Muy buena,41.06
Ambos sexos,25-34,Buena,48.63
Ambos sexos,25-34,Regular,8.97
Ambos sexos,25-34,Mala,1.03
Ambos sexos,25-34,Muy mala,0.31
Ambos sexos,35-44,Total,100
Ambos sexos,35-44,Muy buena,31.25
Ambos sexos,35-44,Buena,54.32
Ambos sexos,35-44,Regular,11.53
Ambos sexos,35-44,Mala,2.41
Ambos sexos,35-44,Muy mala,0.49
Ambos sexos,45-54,Total,100
Ambos sexos,45-54,Muy buena,23.28
Ambos sexos,45-54,Buena,56.05
Ambos sexos,45-54,Regular,14.58
Ambos sexos,45-54,Mala,4.85
Ambos sexos,45-54,Muy mala,1.25
Ambos sexos,55-64,Total,100
Ambos sexos,55-64,Muy buena,13.89
Ambos sexos,55-64,Buena,56.12
Ambos sexos,55-64,Regular,22
Ambos sexos,55-64,Mala,6.31
Ambos sexos,55-64,Muy mala,1.68
Ambos sexos,65-74,Total,100
Ambos sexos,65-74,Muy buena,10.17
Ambos sexos,65-74,Buena,50.67
Ambos sexos,65-74,Regular,27.57
Ambos sexos,65-74,Mala,8.69
Ambos sexos,65-74,Muy mala,2.89
Ambos sexos,75-84,Total,100
Ambos sexos,75-84,Muy buena,6.21
Ambos sexos,75-84,Buena,37.66
Ambos sexos,75-84,Regular,36.29
Ambos sexos,75-84,Mala,16.43
Ambos sexos,75-84,Muy mala,3.42
Ambos sexos,85+,Total,100
Ambos sexos,85+,Muy buena,2.23
Ambos sexos,85+,Buena,29.92
Ambos sexos,85+,Regular,38.17
Ambos sexos,85+,Mala,22.2
Ambos sexos,85+,Muy mala,7.47
H,TOTAL,Total,100
H,TOTAL,Muy buena,28.17
H,TOTAL,Buena,51.1
H,TOTAL,Regular,15.23
H,TOTAL,Mala,4.37
H,TOTAL,Muy mala,1.13
H,15-24,Total,100
H,15-24,Muy buena,58.99
H,15-24,Buena,34.91
H,15-24,Regular,5.45
H,15-24,Mala,0.33
H,15-24,Muy mala,0.32
H,25-34,Total,100
H,25-34,Muy buena,43.84
H,25-34,Buena,48.47
H,25-34,Regular,6.85
H,25-34,Mala,0.64
H,25-34,Muy mala,0.2
H,35-44,Total,100
H,35-44,Muy buena,31.29
H,35-44,Buena,55.85
H,35-44,Regular,10.22
H,35-44,Mala,2.14
H,35-44,Muy mala,0.5
H,45-54,Total,100
H,45-54,Muy buena,25.24
H,45-54,Buena,56.86
H,45-54,Regular,12.99
H,45-54,Mala,3.8
H,45-54,Muy mala,1.11
H,55-64,Total,100
H,55-64,Muy buena,14.74
H,55-64,Buena,57.48
H,55-64,Regular,20.41
H,55-64,Mala,5.78
H,55-64,Muy mala,1.59
H,65-74,Total,100
H,65-74,Muy buena,11.38
H,65-74,Buena,54.66
H,65-74,Regular,23.98
H,65-74,Mala,7.69
H,65-74,Muy mala,2.3
H,75-84,Total,100
H,75-84,Muy buena,7.2
H,75-84,Buena,42.45
H,75-84,Regular,34.51
H,75-84,Mala,14.11
H,75-84,Muy mala,1.74
H,85+,Total,100
H,85+,Muy buena,3.28
H,85+,Buena,35.16
H,85+,Regular,40.56
H,85+,Mala,15.45
H,85+,Muy mala,5.53
M,TOTAL,Total,100
M,TOTAL,Muy buena,23.45
M,TOTAL,Buena,48.49
M,TOTAL,Regular,19.56
M,TOTAL,Mala,6.62
M,TOTAL,Muy mala,1.87
M,15-24,Total,100
M,15-24,Muy buena,48.89
M,15-24,Buena,41.78
M,15-24,Regular,8.32
M,15-24,Mala,0.72
M,15-24,Muy mala,0.3
M,25-34,Total,100
M,25-34,Muy buena,38.28
M,25-34,Buena,48.79
M,25-34,Regular,11.09
M,25-34,Mala,1.42
M,25-34,Muy mala,0.41
M,35-44,Total,100
M,35-44,Muy buena,31.21
M,35-44,Buena,52.79
M,35-44,Regular,12.84
M,35-44,Mala,2.67
M,35-44,Muy mala,0.48
M,45-54,Total,100
M,45-54,Muy buena,21.3
M,45-54,Buena,55.24
M,45-54,Regular,16.18
M,45-54,Mala,5.9
M,45-54,Muy mala,1.38
M,55-64,Total,100
M,55-64,Muy buena,13.07
M,55-64,Buena,54.82
M,55-64,Regular,23.52
M,55-64,Mala,6.82
M,55-64,Muy mala,1.77
M,65-74,Total,100
M,65-74,Muy buena,9.16
M,65-74,Buena,47.33
M,65-74,Regular,30.59
M,65-74,Mala,9.53
M,65-74,Muy mala,3.39
M,75-84,Total,100
M,75-84,Muy buena,5.38
M,75-84,Buena,33.62
M,75-84,Regular,37.78
M,75-84,Mala,18.38
M,75-84,Muy mala,4.84
M,85+,Total,100
M,85+,Muy buena,1.67
M,85+,Buena,27.11
M,85+,Regular,36.88
M,85+,Mala,25.82
M,85+,Muy mala,8.51
